Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Random Forest,0.9107142857142857,0.9209041950113378,0.9107142857142857,0.9080190395556216,0.9928134441555027
KNN,0.5178571428571429,0.5354591836734693,0.5178571428571429,0.47951770451770453,0.7743269354294199
Decision Tree,0.7321428571428571,0.7304730983302411,0.7321428571428571,0.7298534798534798,0.8399480160970846
